"Year","Quarter","YearMonth","Tournament","Transfer","Holiday","League","Channel","MacroRegion","Country","Sessions","AddToCart","Conversions"
"2021","Q1","2021-01","0","1","0","0","Web","EMEA","United Kingdom","315","47","10"
"2021","Q1","2021-01","0","1","0","0","Mobile App","EMEA","United Kingdom","251","41","9"
"2021","Q1","2021-01","0","1","0","0","Web","EMEA","Spain","284","41","9"
"2021","Q1","2021-01","0","1","0","0","Mobile App","EMEA","Spain","243","38","9"
"2021","Q1","2021-01","0","1","0","0","Web","EMEA","Germany","266","38","8"
"2021","Q1","2021-01","0","1","0","0","Mobile App","EMEA","Germany","212","30","6"
"2021","Q1","2021-01","0","1","0","0","Web","Americas","United States","299","37","8"
"2021","Q1","2021-01","0","1","0","0","Mobile App","Americas","United States","257","35","7"
"2021","Q1","2021-01","0","1","0","0","Web","Americas","Brazil","199","25","5"
"2021","Q1","2021-01","0","1","0","0","Mobile App","Americas","Brazil","215","29","6"
"2021","Q1","2021-01","0","1","0","0","Web","Americas","Mexico","178","20","4"
"2021","Q1","2021-01","0","1","0","0","Mobile App","Americas","Mexico","164","22","5"
"2021","Q1","2021-01","0","1","0","0","Web","APAC","Japan","216","33","7"
"2021","Q1","2021-01","0","1","0","0","Mobile App","APAC","Japan","217","45","10"
"2021","Q1","2021-01","0","1","0","0","Web","APAC","Australia","178","24","5"
"2021","Q1","2021-01","0","1","0","0","Mobile App","APAC","Australia","151","21","5"
"2021","Q1","2021-01","0","1","0","0","Web","EMEA","United Kingdom","379","53","11"
"2021","Q1","2021-01","0","1","0","0","Mobile App","EMEA","United Kingdom","266","49","10"
"2021","Q1","2021-01","0","1","0","0","Web","EMEA","Spain","333","45","10"
"2021","Q1","2021-01","0","1","0","0","Mobile App","EMEA","Spain","270","42","9"
"2021","Q1","2021-01","0","1","0","0","Web","EMEA","Germany","260","32","7"
"2021","Q1","2021-01","0","1","0","0","Mobile App","EMEA","Germany","205","33","7"
"2021","Q1","2021-01","0","1","0","0","Web","Americas","United States","305","39","8"
"2021","Q1","2021-01","0","1","0","0","Mobile App","Americas","United States","265","36","8"
"2021","Q1","2021-01","0","1","0","0","Web","Americas","Brazil","309","43","9"
"2021","Q1","2021-01","0","1","0","0","Mobile App","Americas","Brazil","252","35","8"
"2021","Q1","2021-01","0","1","0","0","Web","Americas","Mexico","191","24","5"
"2021","Q1","2021-01","0","1","0","0","Mobile App","Americas","Mexico","129","17","4"
"2021","Q1","2021-01","0","1","0","0","Web","APAC","Japan","233","40","8"
"2021","Q1","2021-01","0","1","0","0","Mobile App","APAC","Japan","230","47","10"
"2021","Q1","2021-01","0","1","0","0","Web","APAC","Australia","180","21","5"
"2021","Q1","2021-01","0","1","0","0","Mobile App","APAC","Australia","156","25","5"
"2021","Q1","2021-01","0","1","0","0","Web","EMEA","United Kingdom","393","55","12"
"2021","Q1","2021-01","0","1","0","0","Mobile App","EMEA","United Kingdom","323","53","11"
"2021","Q1","2021-01","0","1","0","0","Web","EMEA","Spain","361","53","12"
"2021","Q1","2021-01","0","1","0","0","Mobile App","EMEA","Spain","215","35","8"
"2021","Q1","2021-01","0","1","0","0","Web","EMEA","Germany","264","34","8"
"2021","Q1","2021-01","0","1","0","0","Mobile App","EMEA","Germany","223","37","8"
"2021","Q1","2021-01","0","1","0","0","Web","Americas","United States","264","34","7"
"2021","Q1","2021-01","0","1","0","0","Mobile App","Americas","United States","240","36","8"
"2021","Q1","2021-01","0","1","0","0","Web","Americas","Brazil","310","42","9"
"2021","Q1","2021-01","0","1","0","0","Mobile App","Americas","Brazil","223","31","7"
"2021","Q1","2021-01","0","1","0","0","Web","Americas","Mexico","197","24","5"
"2021","Q1","2021-01","0","1","0","0","Mobile App","Americas","Mexico","137","18","4"
"2021","Q1","2021-01","0","1","0","0","Web","APAC","Japan","270","44","10"
"2021","Q1","2021-01","0","1","0","0","Mobile App","APAC","Japan","236","43","9"
"2021","Q1","2021-01","0","1","0","0","Web","APAC","Australia","165","21","5"
"2021","Q1","2021-01","0","1","0","0","Mobile App","APAC","Australia","149","23","5"
"2021","Q1","2021-01","0","1","0","0","Web","EMEA","United Kingdom","320","50","12"
"2021","Q1","2021-01","0","1","0","0","Mobile App","EMEA","United Kingdom","247","45","9"
"2021","Q1","2021-01","0","1","0","0","Web","EMEA","Spain","355","50","11"
"2021","Q1","2021-01","0","1","0","0","Mobile App","EMEA","Spain","212","34","7"
"2021","Q1","2021-01","0","1","0","0","Web","EMEA","Germany","205","30","7"
"2021","Q1","2021-01","0","1","0","0","Mobile App","EMEA","Germany","181","30","6"
"2021","Q1","2021-01","0","1","0","0","Web","Americas","United States","234","28","6"
"2021","Q1","2021-01","0","1","0","0","Mobile App","Americas","United States","269","35","8"
"2021","Q1","2021-01","0","1","0","0","Web","Americas","Brazil","287","36","8"
"2021","Q1","2021-01","0","1","0","0","Mobile App","Americas","Brazil","230","36","8"
"2021","Q1","2021-01","0","1","0","0","Web","Americas","Mexico","158","17","4"
"2021","Q1","2021-01","0","1","0","0","Mobile App","Americas","Mexico","163","20","4"
"2021","Q1","2021-01","0","1","0","0","Web","APAC","Japan","203","32","7"
"2021","Q1","2021-01","0","1","0","0","Mobile App","APAC","Japan","233","48","10"
"2021","Q1","2021-01","0","1","0","0","Web","APAC","Australia","158","19","4"
"2021","Q1","2021-01","0","1","0","0","Mobile App","APAC","Australia","146","24","5"
"2021","Q1","2021-01","0","1","0","0","Web","EMEA","United Kingdom","340","51","11"
"2021","Q1","2021-01","0","1","0","0","Mobile App","EMEA","United Kingdom","293","47","10"
"2021","Q1","2021-01","0","1","0","0","Web","EMEA","Spain","313","39","9"
"2021","Q1","2021-01","0","1","0","0","Mobile App","EMEA","Spain","226","37","8"
"2021","Q1","2021-01","0","1","0","0","Web","EMEA","Germany","228","28","6"
"2021","Q1","2021-01","0","1","0","0","Mobile App","EMEA","Germany","221","35","8"
"2021","Q1","2021-01","0","1","0","0","Web","Americas","United States","271","32","7"
"2021","Q1","2021-01","0","1","0","0","Mobile App","Americas","United States","187","27","6"
"2021","Q1","2021-01","0","1","0","0","Web","Americas","Brazil","237","33","7"
"2021","Q1","2021-01","0","1","0","0","Mobile App","Americas","Brazil","191","26","6"
"2021","Q1","2021-01","0","1","0","0","Web","Americas","Mexico","178","22","4"
"2021","Q1","2021-01","0","1","0","0","Mobile App","Americas","Mexico","170","21","5"
"2021","Q1","2021-01","0","1","0","0","Web","APAC","Japan","237","38","9"
"2021","Q1","2021-01","0","1","0","0","Mobile App","APAC","Japan","235","42","9"
"2021","Q1","2021-01","0","1","0","0","Web","APAC","Australia","165","21","5"
"2021","Q1","2021-01","0","1","0","0","Mobile App","APAC","Australia","117","19","4"
"2021","Q1","2021-01","0","1","0","0","Web","EMEA","United Kingdom","378","52","11"
"2021","Q1","2021-01","0","1","0","0","Mobile App","EMEA","United Kingdom","295","50","11"
"2021","Q1","2021-01","0","1","0","0","Web","EMEA","Spain","309","40","9"
"2021","Q1","2021-01","0","1","0","0","Mobile App","EMEA","Spain","230","38","8"
"2021","Q1","2021-01","0","1","0","0","Web","EMEA","Germany","268","38","8"
